Latitude,Longitude,altitude (m),Injury.Severity,Aircraft.Damage,Aircraft.Category,Make,Model,Number.of.Engines,Engine.Type,FAR.Description,Purpose.of.Flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.Phase.of.Flight,Amateur.Built,Total.Passengers
28,-82.163,45.6,NON-FATAL,SUBSTANTIAL,AIRPLANE,CESSNA,172,1,RECIPROCATING,PART 91: GENERAL AVIATION,INSTRUCTIONAL,0,0,0,1,VMC,TAKEOFF,NO,1
40.039,-105.226,1611.6,NON-FATAL,SUBSTANTIAL,AIRPLANE,PIPER,PA18,1,RECIPROCATING,PART 91: GENERAL AVIATION,PERSONAL,0,0,0,2,VMC,LANDING,NO,2
61.769,-151.584,560.9,NON-FATAL,SUBSTANTIAL,AIRPLANE,PIPER,PA18,1,RECIPROCATING,PART 91: GENERAL AVIATION,PERSONAL,0,0,0,1,VMC,TAKEOFF,NO,1
37.565,-97.175,409.3,NON-FATAL,SUBSTANTIAL,AIRPLANE,THOMAS LEE,NUIPORT,1,RECIPROCATING,PART 91: GENERAL AVIATION,PERSONAL,0,0,0,1,VMC,TAKEOFF,NO,1
35.788,-94.355,401.2,FATAL,SUBSTANTIAL,AIRPLANE,CESSNA,150,1,RECIPROCATING,PART 91: GENERAL AVIATION,PERSONAL,1,0,0,0,VMC,CRUISE,NO,1
61.314,-151.224,268.8,NON-FATAL,SUBSTANTIAL,AIRPLANE,PIPER,PA 18,1,RECIPROCATING,PART 91: GENERAL AVIATION,PERSONAL,0,0,0,2,VMC,TAKEOFF,NO,2
41.143,-85.153,253.6,NON-FATAL,SUBSTANTIAL,AIRPLANE,DIAMOND,DA20,1,RECIPROCATING,PART 91: GENERAL AVIATION,PERSONAL,0,0,0,2,VMC,APPROACH,NO,2
34.849,-111.788,1466.4,NON-FATAL,SUBSTANTIAL,AIRPLANE,PIPER,PA60,2,RECIPROCATING,PART 91: GENERAL AVIATION,PERSONAL,0,0,0,4,VMC,LANDING,NO,4
42.697,-71.549,53.7,NON-FATAL,SUBSTANTIAL,AIRPLANE,CESSNA,208,1,TURBO PROP,PART 91: GENERAL AVIATION,SKYDIVING,0,0,0,2,VMC,APPROACH,NO,2
39.781,-119.471,2453.9,FATAL,DESTROYED,AIRPLANE,CESSNA,182,1,RECIPROCATING,PART 91: GENERAL AVIATION,PERSONAL,2,0,0,0,VMC,CRUISE,NO,2
33.803,-118.34,29.1,FATAL,SUBSTANTIAL,AIRPLANE,CESSNA,177,1,RECIPROCATING,PART 91: GENERAL AVIATION,AERIAL OBSERVATION,1,1,0,0,VMC,TAKEOFF,NO,2
33.208,-97.198,194.5,NON-FATAL,SUBSTANTIAL,AIRPLANE,CESSNA,152,1,RECIPROCATING,PART 91: GENERAL AVIATION,INSTRUCTIONAL,0,0,0,1,VMC,LANDING,NO,1
26.15,-81.779,1.3,NON-FATAL,SUBSTANTIAL,AIRPLANE,CESSNA,152,1,RECIPROCATING,PART 91: GENERAL AVIATION,INSTRUCTIONAL,0,0,0,1,VMC,LANDING,NO,1
39.084,-76.762,36.9,NON-FATAL,SUBSTANTIAL,AIRPLANE,SOCATA,TB9,1,RECIPROCATING,PART 91: GENERAL AVIATION,INSTRUCTIONAL,0,0,1,1,VMC,APPROACH,NO,2
36.267,-95.784,213.3,NON-FATAL,SUBSTANTIAL,AIRPLANE,PIPER,PA32R,1,RECIPROCATING,PART 91: GENERAL AVIATION,PERSONAL,0,0,0,2,VMC,LANDING,NO,2
39.668,-119.876,1532.7,NON-FATAL,SUBSTANTIAL,AIRPLANE,PZL OKECIE,PZL104,1,TURBO PROP,PART 91: GENERAL AVIATION,PERSONAL,0,0,0,3,VMC,TAKEOFF,NO,3
64.528,-150.423,148.5,NON-FATAL,SUBSTANTIAL,AIRPLANE,CESSNA,175,1,RECIPROCATING,PART 91: GENERAL AVIATION,PERSONAL,0,1,0,0,UNK,TAKEOFF,NO,1
63.951,-144.672,342.8,NON-FATAL,SUBSTANTIAL,AIRPLANE,PIPER,PA 12,1,RECIPROCATING,PART 91: GENERAL AVIATION,PERSONAL,0,0,0,2,VMC,TAKEOFF,NO,2
36.226,-90.037,79,NON-FATAL,SUBSTANTIAL,AIRPLANE,CESSNA,L19,1,RECIPROCATING,PART 91: GENERAL AVIATION,PERSONAL,0,0,0,2,VMC,LANDING,NO,2
36.666,-76.321,4.4,NON-FATAL,SUBSTANTIAL,AIRPLANE,DIAMOND,DA40,1,RECIPROCATING,PART 91: GENERAL AVIATION,PERSONAL,0,0,1,0,VMC,TAKEOFF,NO,1
28.867,-89.302,,NON-FATAL,DESTROYED,AIRPLANE,PIPER,PA46,1,RECIPROCATING,PART 91: GENERAL AVIATION,PERSONAL,0,0,0,1,VMC,MANEUVERING,NO,1
33.27,-111.814,376.2,NON-FATAL,SUBSTANTIAL,AIRPLANE,MOONEY,M20M,1,RECIPROCATING,PART 91: GENERAL AVIATION,INSTRUCTIONAL,0,0,0,2,VMC,TAKEOFF,NO,2
30.075,-93.695,0.3,NON-FATAL,SUBSTANTIAL,AIRPLANE,CIRRUS,SR20,1,RECIPROCATING,PART 91: GENERAL AVIATION,PERSONAL,0,0,0,2,VMC,CRUISE,NO,2
32.404,-111.22,616.2,NON-FATAL,SUBSTANTIAL,AIRPLANE,PIPER,PA28,1,RECIPROCATING,PART 91: GENERAL AVIATION,INSTRUCTIONAL,0,0,0,3,VMC,STANDING,NO,3
40.924,-85.017,242,NON-FATAL,SUBSTANTIAL,AIRPLANE,CIRRUS,SR22,1,RECIPROCATING,PART 91: GENERAL AVIATION,PERSONAL,0,0,2,0,IMC,CRUISE,NO,2
